Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Les Quatre Roues;87576181;41200;c;557;557;276;276;309;309;36;36;76;76;594;594;2303;2303
Saint-Vincent le Château;87734715;43800;c;11590;11590;6339;6339;11474;11474;8591;8591;6262;6262;10825;10825;11129;11129
Lestelle-de-Saint-Martory;87611111;31360;c;551;551;517;517;312;312;273;273;867;867;1146;1146;1710;1710
Saint-Yrieix-la-Perche;87592824;87500;c;21986;21986;12447;12447;25400;25400;19712;19712;26933;26933;27333;27333;27730;27730
Leval;87295790;59620;c;2621;2621;2544;2544;3422;3422;2959;2959;2184;2184;1752;1752;1661;1661
Salon-de-Provence;87753764;13300;b;216918;271148;157387;196734;251198;313998;213132;266415;224561;280702;210354;262942;225915;282394
Lezennes;87287102;59260;c;582;582;532;532;1207;1207;1274;1274;1447;1447;1466;1466;1311;1311
Salses-le-Château;87784157;66600;c;27822;27822;15374;15374;17568;17568;12473;12473;14103;14103;11846;11846;12810;12810
Lezoux;87734442;63190;c;62499;62499;58553;58553;85008;85008;74855;74855;80947;80947;82637;82637;85063;85063
Sanry-sur-Nied;87192229;57530;c;8214;8214;7413;7413;9866;9866;9595;9595;9066;9066;8998;8998;9928;9928
Liévin;87345041;62800;c;33095;33095;33409;33409;52898;52898;47261;47261;46384;46384;36854;36854;37700;37700
Sarliève - Cournon;87734152;63800;c;26160;26160;22334;22334;39848;39848;31825;31825;37747;37747;32533;32533;38706;38706
Ligugé;87575274;86240;c;11914;11914;8284;8284;9088;9088;6316;6316;5552;5552;4968;4968;5478;5478
Sarrebourg;87215012;57400;b;620016;775020;495281;619102;715228;894035;687339;859174;728487;910609;716037;895047;721389;901736
Lille Europe;87223263;59777;a;4337868;6885505;3303176;5243137;7754675;12309007;7696028;12215918;8314520;13197651;7780562;12350098;7846574;12454880
Sarreguemines;87193615;57200;b;377766;472208;321471;401838;383857;479822;386649;483312;418901;523627;412311;515389;425128;531410
Limeray;87574335;37530;c;9055;9055;7270;7270;6352;6352;6059;6059;7245;7245;7486;7486;7109;7109
Saujon;87491811;17600;c;41592;41592;29426;29426;52649;52649;43071;43071;55241;55241;59261;59261;63819;63819
Limoges Montjovis;87592022;87100;c;16405;16405;11896;11896;18657;18657;13720;13720;19482;19482;18413;18413;18741;18741
Saumur;87487603;49400;b;609788;762235;459355;574194;721620;902026;647395;809244;705455;881819;692282;865352;705898;882373
Lingolsheim;87214502;67380;c;61224;61224;51849;51849;69740;69740;61627;61627;63737;63737;78643;78643;78967;78967
Savigny-le-Temple - Nandy;87682187;77176;b;2873678;2873678;2133225;2133225;4226403;4226403;4247062;4247062;4281204;4281204;4232841;4232841;4167641;4167641
L'Isle-d'Abeau;87761239;38080;b;215285;269107;159510;199388;228996;286245;201520;251901;211322;264152;197159;246449;229555;286944
Scherwiller;87214205;67750;c;7455;7455;4409;4409;6138;6138;4055;4055;5330;5330;7292;7292;6655;6655
